"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"TOR","TORQUE METALS LIMITED..","Materials","25/06/2021",22257094
"TOT","360 CAPITAL REIT","Equity Real Estate Investment Trusts (REITs)","22/04/2015",75106999
"TOU","TLOU ENERGY LIMITED","Energy","09/04/2013",31319471
"TOY","TOYS'R'US ANZ LIMITED","Consumer Discretionary Distribution & Retail","14/09/2000",11789562
"TPC","TPC CONSOLIDATED LIMITED","Utilities","16/07/2007",95506856
"TPD","TALON ENERGY LTD","Energy","28/02/2013",120249610
"TPG","TPG TELECOM LIMITED.","Telecommunication Services","30/06/2020",8962026845
"TPW","TEMPLE & WEBSTER GROUP LTD","Consumer Discretionary Distribution & Retail","10/12/2015",995892586
"TRA","TURNERS AUTOMOTIVE GROUP LIMITED","Consumer Discretionary Distribution & Retail","28/07/2017",357314856
"TRE","TOUBANI RESOURCES INC.","Class Pend","28/11/2022",18741193
"TRI","TRIVARX LTD","Health Care Equipment & Services","29/01/2001",9773900
"TRJ","TRAJAN GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","07/06/2021",201686313
"TRM","TRUSCOTT MINING CORPORATION LIMITED","Materials","18/04/2007","--"
"TRP","TISSUE REPAIR LTD","Pharmaceuticals, Biotechnology & Life Sciences","18/11/2021",14511562
"TRS","THE REJECT SHOP LIMITED","Consumer Discretionary Distribution & Retail","01/06/2004",199196959
"TRU","TRUSCREEN GROUP LIMITED","Health Care Equipment & Services","06/01/2021",8820532
"TSI","TOP SHELF INTERNATIONAL HOLDINGS LTD","Food, Beverage & Tobacco","10/12/2020",39420414
"TSK","TASK GROUP HOLDINGS LIMITED","Software & Services","25/11/2020",147828364
"TSL","TITANIUM SANDS LIMITED","Materials","22/12/1988",19937302
"TSO","TESORO GOLD LTD","Materials","28/01/2004",29925749
"TTA","TTA HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","16/02/2006",1511658
"TTI","TRAFFIC TECHNOLOGIES LTD.","Transportation","17/02/1998",8334372
"TTM","TITAN MINERALS LIMITED","Materials","15/11/2006",44853465
"TTT","TITOMIC LIMITED","Materials","21/09/2017",25131832
"TUA","TUAS LIMITED","Telecommunication Services","30/06/2020",1232143791
"TVL","TOUCH VENTURES LIMITED","Financial Services","29/09/2021",47270080
"TVN","TIVAN LIMITED","Materials","18/02/1971",122629077
"TWD","TAMAWOOD LIMITED","Consumer Durables & Apparel","14/08/2000",87350521
"TWE","TREASURY WINE ESTATES LIMITED","Food, Beverage & Tobacco","10/05/2011",8517609263
"TWR","TOWER LIMITED","Insurance","28/09/1999",221998132
"TX3","TRINEX MINERALS LIMITED","Materials","06/04/2017",11892565
"TYR","TYRO PAYMENTS LIMITED","Financial Services","06/12/2019",548371360
"TYX","TYRANNA RESOURCES LIMITED","Materials","11/07/2007",52582805
"TZL","TZ LIMITED","Technology Hardware & Equipment","22/01/1987",6418953
"TZN","TERRAMIN AUSTRALIA LIMITED.","Materials","23/12/2003",74079695
"UBI","UNIVERSAL BIOSENSORS INC.","Health Care Equipment & Services","13/12/2006",46721276
"UBN","URBANISE.COM LIMITED","Software & Services","22/09/2014",25030399
"UCM","USCOM LIMITED","Health Care Equipment & Services","10/12/2003",7811876
"UNI","UNIVERSAL STORE HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","16/11/2020",268522835
"UNT","UNITH LTD","Media & Entertainment","16/12/1999",17113569
"UOS","UNITED OVERSEAS AUSTRALIA LIMITED","Real Estate Management & Development","17/02/1988",800168676
"URF","US MASTERS RESIDENTIAL PROPERTY FUND","Equity Real Estate Investment Trusts (REITs)","23/07/2012",203199190
"URW","UNIBAIL-RODAMCO-WESTFIELD","Equity Real Estate Investment Trusts (REITs)","31/05/2018",14321263273
"USL","UNICO SILVER LIMITED","Materials","19/04/2017",35526191
"USQ","US STUDENT HOUSING REIT","Equity Real Estate Investment Trusts (REITs)","08/03/2022",54985806
"UVA","UVRE LIMITED","Materials","07/06/2022",5369000
"VAL","VALOR RESOURCES LIMITED","Materials","29/08/1997",11620004
"VAR","VARISCAN MINES LIMITED","Materials","20/08/1987",3922762
"VBC","VERBREC LIMITED","Capital Goods","11/12/2007",21530471
"VBCN","VERBREC LIMITED","Capital Goods","11/12/2007",21530471
"VBS","VECTUS BIOSYSTEMS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/02/2016",16760949
"VCX","VICINITY CENTRES","Equity Real Estate Investment Trusts (REITs)","05/12/2011",8694845934
"VEA","VIVA ENERGY GROUP LIMITED","Energy","13/07/2018",4786915366
"VEE","VEEM LTD","Capital Goods","26/10/2016",120111715
"VEN","VINTAGE ENERGY LTD","Energy","17/09/2018",26096882
"VFX","VISIONFLEX GROUP LIMITED","Health Care Equipment & Services","09/06/2015",14169912
"VG1","VGI PARTNERS GLOBAL INVESTMENTS LIMITED","Not Applic","28/09/2017",525487664
"VGL","VISTA GROUP INTERNATIONAL LIMITED.","Software & Services","11/08/2014",307115955
"VHM","VHM LIMITED","Materials","09/01/2023",138252525
"VHT","VOLPARA HEALTH TECHNOLOGIES LIMITED","Health Care Equipment & Services","27/04/2016",193324474
"VIG","VICTOR GROUP HOLDINGS LIMITED","Software & Services","09/05/2014",17166800
"VIP","VIP GLOVES LTD","Health Care Equipment & Services","05/02/1997","SUSPENDED"
"VIT","VITURA HEALTH LIMITED","Health Care Equipment & Services","07/11/2019",167003399
"VKA","VIKING MINES LIMITED","Materials","12/05/2010",13328360
"VLS","VITA LIFE SCIENCES LIMITED..","Pharmaceuticals, Biotechnology & Life Sciences","23/08/2007",90510230
"VMC","VENUS METALS CORPORATION LIMITED","Materials","12/06/2007",18972868
"VMG","VDM GROUP LIMITED","Capital Goods","15/02/2006","SUSPENDED"
"VML","VITAL METALS LIMITED","Materials","11/10/2005","SUSPENDED"
"VMM","VIRIDIS MINING AND MINERALS LIMITED","Materials","24/01/2022",84453011
"VMS","VENTURE MINERALS LIMITED","Materials","22/09/2006",21450143
"VMT","VMOTO LIMITED","Automobiles & Components","31/01/2002",61300515
"VN8","VONEX LIMITED..","Telecommunication Services","13/06/2018",9045716
"VNL","VINYL GROUP LTD","Software & Services","21/09/2010",26754758
"VNT","VENTIA SERVICES GROUP LIMITED","Capital Goods","19/11/2021",2617782402
"VPR","VOLT POWER GROUP LIMITED","Utilities","18/04/1991",16074312
"VR1","VECTION TECHNOLOGIES LTD","Software & Services","17/03/2017",27038135
"VR8","VANADIUM RESOURCES LIMITED","Materials","03/11/2017",24756104
"VRC","VOLT RESOURCES LIMITED","Materials","19/12/2003",28910747
"VRS","VERIS LIMITED","Commercial & Professional Services","25/06/2008",33444785
"VRX","VRX SILICA LIMITED","Materials","24/02/2011",64171640
"VSL","VULCAN STEEL LIMITED","Materials","04/11/2021",977679776
"VSR","VOLTAIC STRATEGIC RESOURCES LTD","Energy","21/01/2011",12996155
"VTI","VISIONEERING TECHNOLOGIES INC.","Health Care Equipment & Services","28/03/2017",11541134
"VTM","VICTORY METALS LIMITED","Materials","22/07/2021",17797924
"VTX","VERTEX MINERALS LIMITED","Materials","17/01/2022",11344666
"VUK","VIRGIN MONEY UK PLC","Banks","03/02/2016",3835890783
"VUL","VULCAN ENERGY RESOURCES LIMITED","Materials","30/05/2018",382002078
"VVA","VIVA LEISURE LIMITED","Consumer Services","07/06/2019",126851904
"VYS","VYSARN LIMITED","Materials","14/12/2007",108284970
"W2V","WAY 2 VAT LTD.","Software & Services","17/09/2021",7001192
"WA1","WA1 RESOURCES LTD","Materials","08/02/2022",476585458
"WA8","WARRIEDAR RESOURCES LIMITED","Materials","18/05/2011",32775468
"WAA","WAM ACTIVE LIMITED","Not Applic","11/01/2008",52496742
"WAF","WEST AFRICAN RESOURCES LIMITED","Materials","11/06/2010",974807423
"WAK","WA KAOLIN LIMITED","Materials","26/11/2020",42805343
"WAM","WAM CAPITAL LIMITED","Not Applic","12/08/1999",1571960481
"WAR","WAM STRATEGIC VALUE LIMITED","Not Applic","28/06/2021",181026390
"WAT","WATERCO LIMITED","Consumer Durables & Apparel","23/03/1989",152650855
"WAX","WAM RESEARCH LIMITED","Not Applic","19/08/2003",200506813
"WBC","WESTPAC BANKING CORPORATION","Banks","18/07/1970",76462786958
"WBE","WHITEBARK ENERGY LTD","Energy","10/03/2004",2804281
"WBT","WEEBIT NANO LTD","Semiconductors & Semiconductor Equipment","21/12/2010",742025528
"WC1","WEST COBAR METALS LIMITED","Materials","01/10/2021",6952820
"WC8","WILDCAT RESOURCES LIMITED","Materials","04/08/2004",806559498
"WCG","WEBCENTRAL LTD","Software & Services","14/12/1999",78502039
"WCN","WHITE CLIFF MINERALS LIMITED","Materials","14/12/2007",14042153
"WDS","WOODSIDE ENERGY GROUP LTD","Energy","18/11/1971",56658693167
"WEB","WEBJET LIMITED","Consumer Services","19/11/1997",2616959004
"WEC","WHITE ENERGY COMPANY LIMITED","Energy","23/07/1999",3967559
"WEL","WINCHESTER ENERGY LTD","Energy","23/09/2014",3061266
"WES","WESFARMERS LIMITED","Consumer Discretionary Distribution & Retail","15/11/1984",60483816800
"WFL","WELLFULLY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/05/2000","SUSPENDED"
"WGB","WAM GLOBAL LIMITED","Not Applic","22/06/2018",694501075
"WGN","WAGNERS HOLDING COMPANY LIMITED","Materials","08/12/2017",154785399
"WGR","WESTERN GOLD RESOURCES LIMITED.","Materials","23/07/2021",5379094
"WGX","WESTGOLD RESOURCES LIMITED.","Materials","06/12/2016",1023025097
"WHC","WHITEHAVEN COAL LIMITED","Energy","01/06/2007",5931499559
"WHF","WHITEFIELD INDUSTRIALS LIMITED","Not Applic","02/08/1971",588855063
"WHK","WHITEHAWK LIMITED","Software & Services","24/01/2018",7574760
"WIA","WIA GOLD LIMITED","Materials","09/03/2011",30382604
"WIN","WIDGIE NICKEL LIMITED","Materials","22/09/2021",25325330
"WKT","WALKABOUT RESOURCES LTD","Materials","07/11/2006",97332910
"WLD","WELLARD LIMITED","Food, Beverage & Tobacco","10/12/2015",18593761
"WLE","WAM LEADERS LIMITED","Not Applic","30/05/2016",1688401975
"WMA","WAM ALTERNATIVE ASSETS LIMITED","Not Applic","16/06/2014",197481514
"WMC","WILUNA MINING CORPORATION LIMITED.","Materials","28/09/2006","SUSPENDED"
"WMG","WESTERN MINES GROUP LTD","Materials","20/07/2021",24050357
"WMI","WAM MICROCAP LIMITED","Not Applic","28/06/2017",293843751
"WML","WOOMERA MINING LIMITED","Materials","15/09/2005",32229753
"WNR","WINGARA AG LTD","Food, Beverage & Tobacco","31/01/1990",4213020
"WNX","WELLNEX LIFE LIMITED","Food, Beverage & Tobacco","15/03/2017","SUSPENDED"
"WNXN","WELLNEX LIFE LIMITED","Food, Beverage & Tobacco","15/03/2017","SUSPENDED"
"WOA","WIDE OPEN AGRICULTURE LTD","Food, Beverage & Tobacco","06/07/2018",28818960
"WOR","WORLEY LIMITED","Capital Goods","28/11/2002",8938970528
"WOT","WOTSO PROPERTY","Equity Real Estate Investment Trusts (REITs)","28/10/2011",188933153
"WOW","WOOLWORTHS GROUP LIMITED","Consumer Staples Distribution & Retail","12/07/1993",43573902314
"WPR","WAYPOINT REIT","Equity Real Estate Investment Trusts (REITs)","03/08/2016",1605641547
"WQG","WCM GLOBAL GROWTH LIMITED","Not Applic","23/06/2017",231165202
"WR1","WINSOME RESOURCES LIMITED","Materials","30/11/2021",195126804
"WRK","WRKR LTD","Software & Services","19/12/2016",38147671
"WRM","WHITE ROCK MINERALS LIMITED","Materials","08/10/2010","SUSPENDED"
"WSI","WESTSTAR INDUSTRIAL LIMITED","Materials","07/06/2006",13291829
"WSP","WHISPIR LIMITED","Software & Services","19/06/2019",71627513
"WSR","WESTAR RESOURCES LIMITED","Materials","17/12/2020",4448580
"WTC","WISETECH GLOBAL LIMITED","Software & Services","11/04/2016",22738769084
"WTL","WT FINANCIAL GROUP LIMITED","Financial Services","09/03/2015",28834920
"WTN","WINTON LAND LIMITED","Real Estate Management & Development","17/12/2021",705940692
"WWG","WISEWAY GROUP LIMITED","Transportation","31/10/2018",8197400
"WWI","WEST WITS MINING LIMITED","Materials","19/12/2007",31595091
"WYX","WESTERN YILGARN NL","Materials","25/05/2007",6984781
"WZR","WISR LIMITED","Financial Services","16/03/1989",32750750
"X2M","X2M CONNECT LIMITED","Technology Hardware & Equipment","22/09/2021",10054964
"X64","TEN SIXTY FOUR LIMITED","Materials","23/12/2003","SUSPENDED"
"XAM","XANADU MINES LTD","Materials","21/12/2010",81639393
"XF1","XREF LIMITED","Software & Services","18/04/2007",22341155
"XGL","XAMBLE GROUP LIMITED","Media & Entertainment","06/07/2015",18030674
"XPN","XPON TECHNOLOGIES GROUP LIMITED","Software & Services","16/12/2021",9715461
"XRF","XRF SCIENTIFIC LIMITED","Capital Goods","31/10/2006",163578913
"XRG","XREALITY GROUP LTD","Consumer Services","18/01/2013",18617752
"XRO","XERO LIMITED","Software & Services","08/11/2012",15713544172
"XST","XSTATE RESOURCES LIMITED","Energy","14/01/1988",4501268
"XTCDA","XANTIPPE RESOURCES LIMITED","Materials","15/08/2007","SUSPENDED"
"YAL","YANCOAL AUSTRALIA LIMITED","Energy","28/06/2012",6417335664
"YAR","YARI MINERALS LIMITED","Materials","19/06/2006",5788294
"YOJ","YOJEE LIMITED","Software & Services","02/12/2010",7835911
"YOW","YOWIE GROUP LTD","Food, Beverage & Tobacco","15/09/1999",6994173
"YPB","YPB GROUP LTD","Commercial & Professional Services","07/03/2005",1580923
"YRL","YANDAL RESOURCES LIMITED","Materials","14/12/2018",21125354
"Z2U","ZOOM2U TECHNOLOGIES LIMITED","Software & Services","10/09/2021",10270654
"ZAG","ZULEIKA GOLD LIMITED","Materials","23/08/2010",13985625
"ZEO","ZEOTECH LIMITED","Materials","16/10/2009",62403230
"ZER","ZETA RESOURCES LIMITED","Not Applic","12/06/2013",159178995
"ZEU","ZEUS RESOURCES LIMITED","Energy","21/01/2013",5052091
"ZGL","ZICOM GROUP LIMITED","Capital Goods","12/11/1970",8796960
"ZIM","ZIMPLATS HOLDINGS LIMITED","Materials","15/10/1998",2459520280
"ZIP","ZIP CO LIMITED..","Financial Services","09/12/2009",380474223
"ZLD","ZELIRA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/07/2003",10439383
"ZMI","ZINC OF IRELAND NL","Materials","18/09/2007",4049741
"ZMM","ZIMI LIMITED","Technology Hardware & Equipment","10/09/2007",4815896
"ZNC","ZENITH MINERALS LIMITED","Materials","29/05/2007",49333324
"ZNO","ZOONO GROUP LIMITED","Materials","21/07/1988",11015805
